age,job,marital,education,default,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,sexo,customer,balance_clp,morgage_loan,conversion,age_group
58,,married,tertiary,no,yes,no,unknown,5,may,261,1,-1,0,unknown,no,hombre,wk91340,439300.0,,0,"[50, 60)"
44,technician,single,secondary,no,yes,no,unknown,5,may,151,1,-1,0,unknown,no,mujer,pm58840,227900.0,,0,"[40, 50)"
33,entrepreneur,married,secondary,no,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,hombre,mu82055,225200.0,,0,"[30, 40)"
47,blue-collar,married,unknown,no,yes,no,unknown,5,may,92,1,-1,0,unknown,no,mujer,oc44328,375600.0,,0,"[40, 50)"
33,unknown,single,unknown,no,no,no,unknown,5,may,198,1,-1,0,unknown,no,hombre,aw87639,225100.0,,0,"[30, 40)"
35,,married,tertiary,no,yes,no,unknown,5,may,139,1,-1,0,unknown,no,mujer,jc19667,248100.0,,0,"[30, 40)"
28,management,single,tertiary,no,yes,yes,unknown,5,may,217,1,-1,0,unknown,no,hombre,sv35875,269700.0,,0,"[18, 30)"
42,entrepreneur,divorced,tertiary,yes,yes,no,unknown,5,may,380,1,-1,0,unknown,no,mujer,af79478,225200.0,,0,"[40, 50)"
58,retired,married,primary,no,yes,no,unknown,5,may,50,1,-1,0,,no,mujer,eb34846,237100.0,,0,"[50, 60)"
43,technician,single,secondary,no,yes,no,unknown,5,may,55,1,-1,0,unknown,no,mujer,am05297,284300.0,,0,"[40, 50)"
41,admin.,divorced,secondary,no,yes,no,unknown,5,may,222,1,-1,0,unknown,no,hombre,bw49269,252000.0,,0,"[40, 50)"
29,admin.,single,secondary,no,yes,no,unknown,5,may,137,1,-1,0,unknown,no,hombre,oe90628,264000.0,,0,"[18, 30)"
53,technician,married,secondary,no,yes,no,unknown,5,may,517,1,-1,0,unknown,no,hombre,tp03463,225600.0,,0,"[50, 60)"
58,technician,married,unknown,no,yes,no,unknown,5,may,71,1,-1,0,unknown,no,hombre,zr47240,232100.0,,0,"[50, 60)"
57,services,married,secondary,no,yes,no,unknown,5,may,174,1,-1,0,unknown,no,hombre,qg51192,241200.0,,0,"[50, 60)"
51,retired,married,primary,no,yes,no,unknown,5,may,353,1,-1,0,unknown,no,hombre,nt20349,247900.0,,0,"[50, 60)"
45,admin.,single,unknown,no,yes,no,unknown,5,may,98,1,-1,0,unknown,no,mujer,vq26816,226300.0,,0,"[40, 50)"
57,blue-collar,married,primary,no,yes,no,unknown,5,may,38,1,-1,0,unknown,no,mujer,ps45311,230200.0,,0,"[50, 60)"
60,retired,married,primary,no,yes,no,unknown,5,may,219,1,-1,0,unknown,no,mujer,rw63608,231000.0,,0,"[60, 70)"
33,services,married,secondary,no,yes,no,unknown,5,may,54,1,-1,0,unknown,no,hombre,vr13600,225000.0,,0,"[30, 40)"
28,blue-collar,married,secondary,no,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,mujer,kj54610,297300.0,,0,"[18, 30)"
56,management,married,tertiary,no,yes,no,unknown,5,may,164,1,-1,0,unknown,no,hombre,kn77740,302900.0,,0,"[50, 60)"
32,blue-collar,single,primary,no,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,mujer,qb57627,227300.0,,0,"[30, 40)"
25,services,married,secondary,no,yes,no,unknown,5,may,342,1,-1,0,unknown,no,mujer,kb21622,230000.0,,0,"[18, 30)"
40,retired,married,primary,no,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,mujer,jv44810,225000.0,,0,"[40, 50)"
44,admin.,married,secondary,no,yes,no,unknown,5,may,172,1,-1,0,unknown,no,mujer,bm59314,187800.0,,0,"[40, 50)"
39,management,single,tertiary,no,yes,no,unknown,5,may,296,1,-1,0,unknown,no,mujer,es35708,250500.0,,0,"[30, 40)"
52,entrepreneur,married,secondary,no,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,hombre,pb97535,236300.0,,0,"[50, 60)"
46,management,single,secondary,no,yes,no,unknown,5,may,255,2,-1,0,unknown,no,hombre,qf86987,200400.0,,0,"[40, 50)"
36,technician,single,secondary,no,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,mujer,be14898,251500.0,,0,"[30, 40)"
57,technician,married,secondary,no,no,yes,unknown,5,may,225,1,-1,0,unknown,no,mujer,pc65956,308900.0,,0,"[50, 60)"
49,management,married,tertiary,no,yes,no,unknown,5,may,230,1,-1,0,unknown,no,mujer,pv32464,262800.0,,0,"[40, 50)"
60,admin.,married,secondary,no,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,hombre,ne17954,228900.0,,0,"[60, 70)"
59,blue-collar,married,secondary,no,yes,no,unknown,5,may,226,1,-1,0,unknown,no,mujer,ke68566,225000.0,,0,"[50, 60)"
51,management,married,tertiary,no,yes,no,unknown,5,may,336,1,-1,0,unknown,no,hombre,mj55976,1063500.0,319050.0,0,"[50, 60)"
57,technician,divorced,secondary,no,yes,no,unknown,5,may,242,1,-1,0,unknown,no,mujer,lp60574,231300.0,,0,"[50, 60)"
25,blue-collar,married,secondary,no,yes,no,unknown,5,may,365,1,-1,0,,no,mujer,rf65215,224300.0,,0,"[18, 30)"
53,technician,married,secondary,no,no,no,unknown,5,may,1666,1,-1,0,unknown,no,mujer,xu39440,224700.0,,0,"[50, 60)"
