"","Region","Dosis","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","total"
"1","Total","Primera",0,0,0,0,0,0,0,0,0,0,0,0,188433,175734,198042,271432,240020,232906,238585,244521,248445,267302,248910,255439,245730,244266,239915,180769,215866,244384,246159,253696,246011,262535,272035,292864,296746,302178,307769,316884,318676,309858,294766,282530,272591,263762,257223,265123,269669,253793,246049,235066,229375,229507,238723,244418,245611,245215,240549,233175,224603,229897,234095,234667,235763,235032,231405,231516,220944,218830,202745,196277,191286,182322,173740,158540,156631,143955,15855503
"2","Total","Segunda",0,0,0,0,0,0,0,0,0,0,0,0,151111,149696,172979,251330,226887,221831,228379,234922,240288,260984,243723,250858,241508,240132,235939,175986,210704,238475,239602,247007,238907,255331,264731,285522,289536,295175,300737,310156,312222,303752,289060,277307,267913,259366,252969,261096,265718,250263,242735,231992,226571,226843,236157,241810,243013,242736,238217,231025,222612,228002,232221,232866,234033,233223,229858,229800,219425,217322,201309,195045,190092,181208,172711,157626,155725,143116,15479395
"3","Total","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79843,37565,21229,18697,23488,38024,29620,25109,18539,17280,16796,16586,15699,14900,14167,13208,12347,11478,10667,10005,9855,9928,8970,8384,7834,7194,6982,6362,6583,6029,5668,5238,4894,4467,4387,4208,3930,3697,3525,3198,3131,2782,1330,180,110,92,110,58,54,37,41,574505
"4","Antofagasta","Refuerzo",0,0,0,0,0,0,0,0,0,0,0,0,39740,49676,71191,152418,146201,146816,154349,160700,174480,205023,192445,204586,202474,207213,213743,233647,226279,235494,232690,243146,248180,255120,259664,272529,275708,281019,286688,295341,297241,289637,275942,265050,256513,248233,242796,251107,256350,241503,234302,224596,219409,220188,229257,235104,236057,235667,231125,224417,216112,221278,225341,226279,227652,226635,223171,223232,212717,209679,193242,187219,182785,174096,165906,151337,149829,137439,14135003
"5","Antofagasta","Cuarta",0,0,0,0,0,0,0,0,0,0,0,0,11,7,45,10926,12126,13365,14164,15154,19866,46241,48279,73548,92576,112743,148954,176021,171444,177750,174236,180395,183575,188488,192180,203159,206147,211339,217671,225722,228829,224531,215126,207607,202264,197211,194123,202074,207780,196612,191628,185183,181651,183471,192566,198070,199284,199686,196427,191664,185015,189529,193713,195209,197089,196732,194159,194643,185640,183765,169886,165433,162202,155024,148125,135394,134374,123205,10221056
"6","Antofagasta","Primera",6931,6723,7686,10570,9295,9121,9331,9475,9762,10104,9421,10074,9257,9089,8954,6551,8700,9772,10307,10870,9634,10443,11684,12466,12901,13045,12874,13313,13239,12895,12393,11797,11179,10870,10194,10424,10604,10277,9835,9246,9265,9228,9236,9213,9375,9219,8824,8453,7856,7473,7362,7173,7326,7238,7284,7100,6622,6581,5936,5607,5512,5245,4871,4368,4210,3881,3363,3216,2923,2662,2528,2286,2163,2016,1827,1713,1462,9754,631677
"7","Arica y Parinacota","Segunda",5448,5597,6628,9740,8664,8641,8879,9075,9408,9843,9204,9880,9067,8915,8790,6303,8396,9457,9896,10449,9252,10055,11315,12078,12568,12700,12577,12985,12954,12615,12143,11557,10984,10680,10011,10255,10426,10110,9696,9118,9148,9115,9128,9098,9257,9113,8724,8358,7761,7395,7291,7108,7268,7171,7213,7029,6569,6523,5894,5568,5468,5210,4842,4335,4190,3860,3346,3192,2909,2643,2508,2272,2142,1995,1812,1698,1446,9602,614560
"8","Arica y Parinacota","Unica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3282,1302,628,523,506,1919,1980,1004,731,633,626,624,526,525,483,481,439,375,376,380,337,326,285,287,269,253,219,172,180,150,136,119,119,102,95,82,82,82,77,57,74,49,16,3,3,4,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,20928
"9","Arica y Parinacota","Refuerzo",1605,1955,2741,5732,5373,5604,5924,6193,6831,7825,7280,8135,7656,7702,8020,8655,8686,8942,9237,9705,9864,10750,10982,11460,11962,12058,11974,12406,12430,12073,11660,11137,10591,10283,9685,9909,10084,9792,9429,8891,8911,8886,8857,8858,9003,8863,8431,8108,7530,7183,7081,6885,7073,6950,6983,6818,6373,6320,5664,5377,5266,5023,4669,4175,4030,3715,3216,3060,2794,2506,2378,2175,2031,1881,1708,1590,1353,8603,561548
